Number of hit	Text ID	Context before	Query item	Context after	Tagged context before	Tagged query item	Tagged context after	Additional Title(s)	Alternative Title(s)	ID numbers (STC)	Century	Century Status	Decade	Decade Status	Half Century	Half Century Status	ID numbers (marc, bibno)	Keyword Terms	Author(s)	Rough-draft genre (experimental, incomplete)	Notes	Publication Place(s)	Publisher(s)	Quarter Century	Quarter Century Status	BIBNO tag(s)	STC tag(s)	VID tag(s)	Title	Year	Year Status	URL	Match-begin corpus position	Match-end corpus position
765	A51579	that overcomes will I grant to sit with me in my Throne , even as I also overcame , and	<<< am sat >>>	down with my Father in his Throne . Here the Reader may see what the Spirit doth mean by overcomes	that_CST overcomes_VVZ will_VM I_PPIS1 grant_VVI to_TO sit_VVI with_IW me_PPIO1 in_II my_APPGE Throne_NN1 ,_YCOM even_RR as_CSA I_PPIS1 also_RR overcame_VVD ,_YCOM and_CC	<<< am_VBM sat_VVN >>>	down_RP with_IW my_APPGE Father_NN1 in_II his_APPGE Throne_NN1 ._YSTP Here_RL the_AT Reader_NN1 may_VM see_VVI what_DDQ the_AT Spirit_NN1 doth_VDZ mean_JJ by_II overcomes_VVZ	_NO_TITLES_LISTED_	_NO_TITLES_LISTED_	Wing M3049.	1600_1699	CERTAIN	1660_1669	CERTAIN	1650_1699	CERTAIN	12533841	Bible. -- N.T. -- Revelation -- Criticism, interpretation, etc.	Muggleton, Lodowick, 1609-1698.	DECLARATIONS	Reproduction of original in Huntington Library.	London	Printed for the author Lodowick Muggleton ..	1650_1674	CERTAIN	oclc: 12533841	W: M3049	62818	A true interpretation of all the chief texts, and mysterious sayings and visions opened, of the whole book of the Revelation of St. John whereby is unfolded, and plainly declared those wonderful deep mysteries and visions interpreted, concerning the true God, the alpha and omega, with variety of other heavenly secrets, which hath never been opened, nor revealed to any man since the creation of the world to this day, until now / by Lodowick Muggleton ...	1665	CERTAIN	https://cqpweb.lancs.ac.uk/eebov3/context.php?qid=006421&batch=764	754042631	754042632
766	A51579	, where will be weeping and gnashing of teeth for evermore . And he overcomes these enemies aforesaid , he	<<< is sat >>>	down in the Throne of the Father . That is , he is sat down in the same Glory ,	,_YCOM where_RRQ will_VM be_VBI weeping_JJ and_CC gnashing_NN1 of_IO teeth_NN2 for_IF evermore_RR ._YSTP And_CC he_PPHS1 overcomes_VVZ these_DD2 enemies_NN2 aforesaid_VVD ,_YCOM he_PPHS1	<<< is_VBZ sat_VVN >>>	down_RP in_II the_AT Throne_NN1 of_IO the_AT Father_NN1 ._YSTP That_REX21 is_REX22 ,_YCOM he_PPHS1 is_VBZ sat_VVN down_RP in_II the_AT same_DA Glory_NN1 ,_YCOM	_NO_TITLES_LISTED_	_NO_TITLES_LISTED_	Wing M3049.	1600_1699	CERTAIN	1660_1669	CERTAIN	1650_1699	CERTAIN	12533841	Bible. -- N.T. -- Revelation -- Criticism, interpretation, etc.	Muggleton, Lodowick, 1609-1698.	DECLARATIONS	Reproduction of original in Huntington Library.	London	Printed for the author Lodowick Muggleton ..	1650_1674	CERTAIN	oclc: 12533841	W: M3049	62818	A true interpretation of all the chief texts, and mysterious sayings and visions opened, of the whole book of the Revelation of St. John whereby is unfolded, and plainly declared those wonderful deep mysteries and visions interpreted, concerning the true God, the alpha and omega, with variety of other heavenly secrets, which hath never been opened, nor revealed to any man since the creation of the world to this day, until now / by Lodowick Muggleton ...	1665	CERTAIN	https://cqpweb.lancs.ac.uk/eebov3/context.php?qid=006421&batch=765	754042894	754042895
767	A51579	overcomes these enemies aforesaid , he is sat down in the Throne of the Father . That is , he	<<< is sat >>>	down in the same Glory , as he had when he was the Creator , or the same Glory which	overcomes_VVZ these_DD2 enemies_NN2 aforesaid_VVD ,_YCOM he_PPHS1 is_VBZ sat_VVN down_RP in_II the_AT Throne_NN1 of_IO the_AT Father_NN1 ._YSTP That_REX21 is_REX22 ,_YCOM he_PPHS1	<<< is_VBZ sat_VVN >>>	down_RP in_II the_AT same_DA Glory_NN1 ,_YCOM as_CSA he_PPHS1 had_VHD when_CS he_PPHS1 was_VBDZ the_AT Creator_NN1 ,_YCOM or_CC the_AT same_DA Glory_NN1 which_DDQ	_NO_TITLES_LISTED_	_NO_TITLES_LISTED_	Wing M3049.	1600_1699	CERTAIN	1660_1669	CERTAIN	1650_1699	CERTAIN	12533841	Bible. -- N.T. -- Revelation -- Criticism, interpretation, etc.	Muggleton, Lodowick, 1609-1698.	DECLARATIONS	Reproduction of original in Huntington Library.	London	Printed for the author Lodowick Muggleton ..	1650_1674	CERTAIN	oclc: 12533841	W: M3049	62818	A true interpretation of all the chief texts, and mysterious sayings and visions opened, of the whole book of the Revelation of St. John whereby is unfolded, and plainly declared those wonderful deep mysteries and visions interpreted, concerning the true God, the alpha and omega, with variety of other heavenly secrets, which hath never been opened, nor revealed to any man since the creation of the world to this day, until now / by Lodowick Muggleton ...	1665	CERTAIN	https://cqpweb.lancs.ac.uk/eebov3/context.php?qid=006421&batch=766	754042908	754042909
768	A51579	, or be with Christ in the Kingdom of Eternal Glory . Even as he himself after his sufferings ,	<<< is sat >>>	down in the kingdom which he had before the world was . Which is called by the spirit the Throne	,_YCOM or_CC be_VBI with_IW Christ_NP1 in_II the_AT Kingdom_NN1 of_IO Eternal_JJ Glory_NN1 ._YSTP Even_RR as_CSA he_PPHS1 himself_PPX1 after_II his_APPGE sufferings_NN2 ,_YCOM	<<< is_VBZ sat_VVN >>>	down_RP in_II the_AT kingdom_NN1 which_DDQ he_PPHS1 had_VHD before_II the_AT world_NN1 was_VBDZ ._YSTP Which_DDQ is_VBZ called_VVN by_II the_AT spirit_NN1 the_AT Throne_NN1	_NO_TITLES_LISTED_	_NO_TITLES_LISTED_	Wing M3049.	1600_1699	CERTAIN	1660_1669	CERTAIN	1650_1699	CERTAIN	12533841	Bible. -- N.T. -- Revelation -- Criticism, interpretation, etc.	Muggleton, Lodowick, 1609-1698.	DECLARATIONS	Reproduction of original in Huntington Library.	London	Printed for the author Lodowick Muggleton ..	1650_1674	CERTAIN	oclc: 12533841	W: M3049	62818	A true interpretation of all the chief texts, and mysterious sayings and visions opened, of the whole book of the Revelation of St. John whereby is unfolded, and plainly declared those wonderful deep mysteries and visions interpreted, concerning the true God, the alpha and omega, with variety of other heavenly secrets, which hath never been opened, nor revealed to any man since the creation of the world to this day, until now / by Lodowick Muggleton ...	1665	CERTAIN	https://cqpweb.lancs.ac.uk/eebov3/context.php?qid=006421&batch=767	754043011	754043012
769	A51782	whom he is indebted , or one that hath a Suit with the adverse party . The Commission being to	<<< be sat >>>	upon at the time and place appointed , the Commissioners must call the Witnesses before them ; where , if	whom_PNQO he_PPHS1 is_VBZ indebted_JJ ,_YCOM or_CC one_PN1 that_CST hath_VHZ a_AT1 Suit_NN1 with_IW the_AT adverse_JJ party_NN1 ._YSTP The_AT Commission_NN1 being_VBG to_TO	<<< be_VBI sat_VVN >>>	upon_II at_II the_AT time_NNT1 and_CC place_NN1 appointed_VVN ,_YCOM the_AT Commissioners_NN2 must_VM call_VVI the_AT Witnesses_NN2 before_II them_PPHO2 ;_YSCOL where_RRQ ,_YCOM if_CS	_NO_TITLES_LISTED_	_NO_TITLES_LISTED_	Wing M448.	1600_1699	CERTAIN	1660_1669	CERTAIN	1650_1699	CERTAIN	11150744	Lawyers -- England -- Handbooks, manuals, etc.	Manley, Thomas, 1628-1690.	DECLARATIONS	Reproduction of original in the Harvard Law School Library.	London	Printed by J. Streate	1650_1674	CERTAIN	oclc: 11150744	W: m448	46430	The sollicitor exactly and plainly declaring both as to knowledge and practice how such an undertaker ought to be qualified : as also his parts, qualities, and fitting endowments for such a weighty employment in a more special manner then hath ever been heretofore published by any hand whatsoever : shewing further the particular of suing a person priviledged, and how the same may by course of court sue any forrainer : being truly useful for all sorts of persons who have any important business in law or equity / by T.M.	1663	CERTAIN	https://cqpweb.lancs.ac.uk/eebov3/context.php?qid=006421&batch=768	758163770	758163771
770	A51833	that overcomes will I grant to sit with me on my Throne , even as I also overcame , and	<<< am sat >>>	down with my Father on his Throne . Who would grudg at a little Pains , and Labour , and	that_CST overcomes_VVZ will_VM I_PPIS1 grant_VVI to_TO sit_VVI with_IW me_PPIO1 on_II my_APPGE Throne_NN1 ,_YCOM even_RR as_CSA I_PPIS1 also_RR overcame_VVD ,_YCOM and_CC	<<< am_VBM sat_VVN >>>	down_RP with_IW my_APPGE Father_NN1 on_II his_APPGE Throne_NN1 ._YSTP Who_PNQS would_VM grudg_VVI at_II a_AT1 little_JJ Pains_NN2 ,_YCOM and_CC Labour_JJ ,_YCOM and_CC	_NO_TITLES_LISTED_	_NO_TITLES_LISTED_	Wing M517.	1600_1699	CERTAIN	1690_1699	CERTAIN	1650_1699	CERTAIN	12778762	Sermons, English -- 17th century. | Funeral sermons.	Manton, Thomas, 1620-1677.	SERMONS	Imperfect: pages faded with loss of print. | Preface signed by Matthew Silvester. | Reproduction of original in the Bodleian Library.	London	Printed by J.D. for Jonathon Robinson ..	1675_1699	CERTAIN	oclc: 12778762	W: M517	93798	Advice to mourners under the loss of dear relations in a funeral sermon long since preach'd / by the late Reverand Dr. Thomas Manton ... And now occasionally published on the much lamented death of Mrs. Ann Terry, who died the 9th of November, 1693.  With a short account of some passages of her life, and papers left under her own hand.	1694	CERTAIN	https://cqpweb.lancs.ac.uk/eebov3/context.php?qid=006421&batch=769	758602360	758602361
771	A51840	Men , and all will be well ; when Men have done their best , petty Sins are not to	<<< be stood >>>	upon . These are the implicit Thoughts and Maxims of ungodly Men , which are the ground of all sottish	Men_NN2 ,_YCOM and_CC all_DB will_VM be_VBI well_JJ ;_YSCOL when_RRQ Men_NN2 have_VH0 done_VDN their_APPGE best_JJT ,_YCOM petty_JJ Sins_NN2 are_VBR not_XX to_TO	<<< be_VBI stood_VVN >>>	upon_II ._YSTP These_DD2 are_VBR the_AT implicit_JJ Thoughts_NN2 and_CC Maxims_NN2 of_IO ungodly_JJ Men_NN2 ,_YCOM which_DDQ are_VBR the_AT ground_NN1 of_IO all_DB sottish_JJ	_NO_TITLES_LISTED_	_NO_TITLES_LISTED_	Wing M524. | Arber's Term. cat. 451.	1600_1699	CERTAIN	1690_1699	CERTAIN	1650_1699	CERTAIN	13325823	Bible -- Sermons. | Sermons, English -- 17th century.	Manton, Thomas, 1620-1677.	SERMONS	Some pages are stained, print is faded, and there is show-through.  Page 317 is stained.  Pages 378, 383, 695, 796-97, 898, and 935 are misnumbered.  Pages 488-95, 549-600, and 993-94 are missing in number onlyin filmed copy.  Pages 300-31 photographed from Union Theological Seminary Library copy and inserted at the end. | Reproduction of original in Huntington Library.	London	Printed by J. D. and are to be sold by Jonathon Robinson ..	1675_1699	CERTAIN	oclc: 13325823	W: M524	99069	A fourth volume containing one hundred and fifty sermons on several texts of Scripture in two parts : part the first containing LXXIV sermons : part the second containing LXXVI sermons : with an alphabetical table to the whole / by ... Thomas Manton ...	1693	CERTAIN	https://cqpweb.lancs.ac.uk/eebov3/context.php?qid=006421&batch=770	759004290	759004291
772	A51840	, yet it is for our sakes ; our Nature is there , though our Persons be not . He	<<< is sat >>>	down as our Agent ; Heb. 8.1 . We have such an High-Priest , who is sat on the right	,_YCOM yet_RR it_PPH1 is_VBZ for_IF our_APPGE sakes_NN2 ;_YSCOL our_APPGE Nature_NN1 is_VBZ there_RL ,_YCOM though_CS our_APPGE Persons_NN2 be_VBI not_XX ._YSTP He_PPHS1	<<< is_VBZ sat_VVN >>>	down_RP as_CSA our_APPGE Agent_NN1 ;_YSCOL Heb._NP1 8.1_MC ._YSTP We_PPIS2 have_VH0 such_DA an_AT1 High-Priest_NP1 ,_YCOM who_PNQS is_VBZ sat_VVN on_II the_AT right_JJ	_NO_TITLES_LISTED_	_NO_TITLES_LISTED_	Wing M524. | Arber's Term. cat. 451.	1600_1699	CERTAIN	1690_1699	CERTAIN	1650_1699	CERTAIN	13325823	Bible -- Sermons. | Sermons, English -- 17th century.	Manton, Thomas, 1620-1677.	SERMONS	Some pages are stained, print is faded, and there is show-through.  Page 317 is stained.  Pages 378, 383, 695, 796-97, 898, and 935 are misnumbered.  Pages 488-95, 549-600, and 993-94 are missing in number onlyin filmed copy.  Pages 300-31 photographed from Union Theological Seminary Library copy and inserted at the end. | Reproduction of original in Huntington Library.	London	Printed by J. D. and are to be sold by Jonathon Robinson ..	1675_1699	CERTAIN	oclc: 13325823	W: M524	99069	A fourth volume containing one hundred and fifty sermons on several texts of Scripture in two parts : part the first containing LXXIV sermons : part the second containing LXXVI sermons : with an alphabetical table to the whole / by ... Thomas Manton ...	1693	CERTAIN	https://cqpweb.lancs.ac.uk/eebov3/context.php?qid=006421&batch=771	759199853	759199854
773	A51840	not . He is sat down as our Agent ; Heb. 8.1 . We have such an High-Priest , who	<<< is sat >>>	on the right Hand of the Throne of the Majesty in the Heavens . Heb. 4.15 . For we have	not_XX ._YSTP He_PPHS1 is_VBZ sat_VVN down_RP as_CSA our_APPGE Agent_NN1 ;_YSCOL Heb._NP1 8.1_MC ._YSTP We_PPIS2 have_VH0 such_DA an_AT1 High-Priest_NP1 ,_YCOM who_PNQS	<<< is_VBZ sat_VVN >>>	on_II the_AT right_JJ Hand_NN1 of_IO the_AT Throne_NN1 of_IO the_AT Majesty_NN1 in_II the_AT Heavens_NN2 ._YSTP Heb._NP1 4.15_MC ._YSTP For_CS we_PPIS2 have_VH0	_NO_TITLES_LISTED_	_NO_TITLES_LISTED_	Wing M524. | Arber's Term. cat. 451.	1600_1699	CERTAIN	1690_1699	CERTAIN	1650_1699	CERTAIN	13325823	Bible -- Sermons. | Sermons, English -- 17th century.	Manton, Thomas, 1620-1677.	SERMONS	Some pages are stained, print is faded, and there is show-through.  Page 317 is stained.  Pages 378, 383, 695, 796-97, 898, and 935 are misnumbered.  Pages 488-95, 549-600, and 993-94 are missing in number onlyin filmed copy.  Pages 300-31 photographed from Union Theological Seminary Library copy and inserted at the end. | Reproduction of original in Huntington Library.	London	Printed by J. D. and are to be sold by Jonathon Robinson ..	1675_1699	CERTAIN	oclc: 13325823	W: M524	99069	A fourth volume containing one hundred and fifty sermons on several texts of Scripture in two parts : part the first containing LXXIV sermons : part the second containing LXXVI sermons : with an alphabetical table to the whole / by ... Thomas Manton ...	1693	CERTAIN	https://cqpweb.lancs.ac.uk/eebov3/context.php?qid=006421&batch=772	759199870	759199871
774	A51840	Christ begins with the Negatives , and the Affirmative Precept is put last , as a thing not accurately to	<<< be stood >>>	upon . 1 Question : Why Christ referrs him to the Commandments ? The Reason of the Doubt is this	Christ_NP1 begins_VVZ with_IW the_AT Negatives_NN2 ,_YCOM and_CC the_AT Affirmative_JJ Precept_NN1 is_VBZ put_VVN last_MD ,_YCOM as_CSA a_AT1 thing_NN1 not_XX accurately_RR to_TO	<<< be_VBI stood_VVN >>>	upon_II ._YSTP 1_MC1 Question_NN1 :_YCOL Why_RRQ Christ_NP1 referrs_NN2 him_PPHO1 to_II the_AT Commandments_NN2 ?_YQUE The_AT Reason_NN1 of_IO the_AT Doubt_NN1 is_VBZ this_DD1	_NO_TITLES_LISTED_	_NO_TITLES_LISTED_	Wing M524. | Arber's Term. cat. 451.	1600_1699	CERTAIN	1690_1699	CERTAIN	1650_1699	CERTAIN	13325823	Bible -- Sermons. | Sermons, English -- 17th century.	Manton, Thomas, 1620-1677.	SERMONS	Some pages are stained, print is faded, and there is show-through.  Page 317 is stained.  Pages 378, 383, 695, 796-97, 898, and 935 are misnumbered.  Pages 488-95, 549-600, and 993-94 are missing in number onlyin filmed copy.  Pages 300-31 photographed from Union Theological Seminary Library copy and inserted at the end. | Reproduction of original in Huntington Library.	London	Printed by J. D. and are to be sold by Jonathon Robinson ..	1675_1699	CERTAIN	oclc: 13325823	W: M524	99069	A fourth volume containing one hundred and fifty sermons on several texts of Scripture in two parts : part the first containing LXXIV sermons : part the second containing LXXVI sermons : with an alphabetical table to the whole / by ... Thomas Manton ...	1693	CERTAIN	https://cqpweb.lancs.ac.uk/eebov3/context.php?qid=006421&batch=773	759252009	759252010
775	A51840	but with thy Servant . ( 5 . ) Another sottish Maxim is , That petty Sins are not to	<<< be stood >>>	upon . They shall do well enough , if they never Sin more nor worse ; as the Omission of	but_CCB with_IW thy_APPGE Servant_NN1 ._YSTP (_YBL 5_MC ._YSTP )_YBR Another_DD1 sottish_JJ Maxim_NN1 is_VBZ ,_YCOM That_DD1 petty_JJ Sins_NN2 are_VBR not_XX to_TO	<<< be_VBI stood_VVN >>>	upon_II ._YSTP They_PPHS2 shall_VM do_VDI well_RR enough_RR ,_YCOM if_CS they_PPHS2 never_RR Sin_VV0 more_DAR nor_CC worse_JJR ;_YSCOL as_II the_AT Omission_NN1 of_IO	_NO_TITLES_LISTED_	_NO_TITLES_LISTED_	Wing M524. | Arber's Term. cat. 451.	1600_1699	CERTAIN	1690_1699	CERTAIN	1650_1699	CERTAIN	13325823	Bible -- Sermons. | Sermons, English -- 17th century.	Manton, Thomas, 1620-1677.	SERMONS	Some pages are stained, print is faded, and there is show-through.  Page 317 is stained.  Pages 378, 383, 695, 796-97, 898, and 935 are misnumbered.  Pages 488-95, 549-600, and 993-94 are missing in number onlyin filmed copy.  Pages 300-31 photographed from Union Theological Seminary Library copy and inserted at the end. | Reproduction of original in Huntington Library.	London	Printed by J. D. and are to be sold by Jonathon Robinson ..	1675_1699	CERTAIN	oclc: 13325823	W: M524	99069	A fourth volume containing one hundred and fifty sermons on several texts of Scripture in two parts : part the first containing LXXIV sermons : part the second containing LXXVI sermons : with an alphabetical table to the whole / by ... Thomas Manton ...	1693	CERTAIN	https://cqpweb.lancs.ac.uk/eebov3/context.php?qid=006421&batch=774	759265975	759265976
776	A51840	our selves to be the faithful Servants of the Lord , 2 Cor. 6.6 . Mans Judgment is not to	<<< be stood >>>	upon , God will not ask their Vote and Suffrage for our Admission into Eternal Glory . As we must	our_APPGE selves_NN2 to_TO be_VBI the_AT faithful_JJ Servants_NN2 of_IO the_AT Lord_NN1 ,_YCOM 2_MC Cor._NP1 6.6_MC ._YSTP Mans_NN2 Judgment_NN1 is_VBZ not_XX to_TO	<<< be_VBI stood_VVN >>>	upon_II ,_YCOM God_NP1 will_VM not_XX ask_VVI their_APPGE Vote_NN1 and_CC Suffrage_NN1 for_IF our_APPGE Admission_NN1 into_II Eternal_JJ Glory_NN1 ._YSTP As_CSA we_PPIS2 must_VM	_NO_TITLES_LISTED_	_NO_TITLES_LISTED_	Wing M524. | Arber's Term. cat. 451.	1600_1699	CERTAIN	1690_1699	CERTAIN	1650_1699	CERTAIN	13325823	Bible -- Sermons. | Sermons, English -- 17th century.	Manton, Thomas, 1620-1677.	SERMONS	Some pages are stained, print is faded, and there is show-through.  Page 317 is stained.  Pages 378, 383, 695, 796-97, 898, and 935 are misnumbered.  Pages 488-95, 549-600, and 993-94 are missing in number onlyin filmed copy.  Pages 300-31 photographed from Union Theological Seminary Library copy and inserted at the end. | Reproduction of original in Huntington Library.	London	Printed by J. D. and are to be sold by Jonathon Robinson ..	1675_1699	CERTAIN	oclc: 13325823	W: M524	99069	A fourth volume containing one hundred and fifty sermons on several texts of Scripture in two parts : part the first containing LXXIV sermons : part the second containing LXXVI sermons : with an alphabetical table to the whole / by ... Thomas Manton ...	1693	CERTAIN	https://cqpweb.lancs.ac.uk/eebov3/context.php?qid=006421&batch=775	759711555	759711556
777	A51840	of , and so gives us a visible Demonstration of the Truth and reality of it . And also he	<<< is sat >>>	down at the right Hand of God , that he might apply Salvation to us by his powerful and all-conquering	of_IO ,_YCOM and_CC so_RR gives_VVZ us_PPIO2 a_AT1 visible_JJ Demonstration_NN1 of_IO the_AT Truth_NN1 and_CC reality_NN1 of_IO it_PPH1 ._YSTP And_CC also_RR he_PPHS1	<<< is_VBZ sat_VVN >>>	down_RP at_II the_AT right_JJ Hand_NN1 of_IO God_NP1 ,_YCOM that_CST he_PPHS1 might_VM apply_VVI Salvation_NN1 to_II us_PPIO2 by_II his_APPGE powerful_JJ and_CC all-conquering_JJ	_NO_TITLES_LISTED_	_NO_TITLES_LISTED_	Wing M524. | Arber's Term. cat. 451.	1600_1699	CERTAIN	1690_1699	CERTAIN	1650_1699	CERTAIN	13325823	Bible -- Sermons. | Sermons, English -- 17th century.	Manton, Thomas, 1620-1677.	SERMONS	Some pages are stained, print is faded, and there is show-through.  Page 317 is stained.  Pages 378, 383, 695, 796-97, 898, and 935 are misnumbered.  Pages 488-95, 549-600, and 993-94 are missing in number onlyin filmed copy.  Pages 300-31 photographed from Union Theological Seminary Library copy and inserted at the end. | Reproduction of original in Huntington Library.	London	Printed by J. D. and are to be sold by Jonathon Robinson ..	1675_1699	CERTAIN	oclc: 13325823	W: M524	99069	A fourth volume containing one hundred and fifty sermons on several texts of Scripture in two parts : part the first containing LXXIV sermons : part the second containing LXXVI sermons : with an alphabetical table to the whole / by ... Thomas Manton ...	1693	CERTAIN	https://cqpweb.lancs.ac.uk/eebov3/context.php?qid=006421&batch=776	759795364	759795365
778	A51840	faith , who for the joy that was set before him endured the cross , despised the shame , and	<<< is sat >>>	down at the right hand of the throne of God . For consider him that endured such contradiction of sinners	faith_NN1 ,_YCOM who_PNQS for_IF the_AT joy_NN1 that_CST was_VBDZ set_VVN before_II him_PPHO1 endured_VVD the_AT cross_NN1 ,_YCOM despised_VVD the_AT shame_NN1 ,_YCOM and_CC	<<< is_VBZ sat_VVN >>>	down_RP at_II the_AT right_JJ hand_NN1 of_IO the_AT throne_NN1 of_IO God_NP1 ._YSTP For_IF consider_VV0 him_PPHO1 that_CST endured_VVD such_DA contradiction_NN1 of_IO sinners_NN2	_NO_TITLES_LISTED_	_NO_TITLES_LISTED_	Wing M524. | Arber's Term. cat. 451.	1600_1699	CERTAIN	1690_1699	CERTAIN	1650_1699	CERTAIN	13325823	Bible -- Sermons. | Sermons, English -- 17th century.	Manton, Thomas, 1620-1677.	SERMONS	Some pages are stained, print is faded, and there is show-through.  Page 317 is stained.  Pages 378, 383, 695, 796-97, 898, and 935 are misnumbered.  Pages 488-95, 549-600, and 993-94 are missing in number onlyin filmed copy.  Pages 300-31 photographed from Union Theological Seminary Library copy and inserted at the end. | Reproduction of original in Huntington Library.	London	Printed by J. D. and are to be sold by Jonathon Robinson ..	1675_1699	CERTAIN	oclc: 13325823	W: M524	99069	A fourth volume containing one hundred and fifty sermons on several texts of Scripture in two parts : part the first containing LXXIV sermons : part the second containing LXXVI sermons : with an alphabetical table to the whole / by ... Thomas Manton ...	1693	CERTAIN	https://cqpweb.lancs.ac.uk/eebov3/context.php?qid=006421&batch=777	759973535	759973536
779	A51840	at God 's right hand to appear for us , Heb. 8.12 . We have such an High-priest , who	<<< is sat >>>	on the right hand of the throne of the Majesty in the Heavens . Heb. 9.24 . For Christ is	at_II God_NP1 's_GE right_JJ hand_NN1 to_TO appear_VVI for_IF us_PPIO2 ,_YCOM Heb._NP1 8.12_MC ._YSTP We_PPIS2 have_VH0 such_DA an_AT1 High-priest_NN1 ,_YCOM who_PNQS	<<< is_VBZ sat_VVN >>>	on_II the_AT right_JJ hand_NN1 of_IO the_AT throne_NN1 of_IO the_AT Majesty_NN1 in_II the_AT Heavens_NN2 ._YSTP Heb._NP1 9.24_MC ._YSTP For_IF Christ_NP1 is_VBZ	_NO_TITLES_LISTED_	_NO_TITLES_LISTED_	Wing M524. | Arber's Term. cat. 451.	1600_1699	CERTAIN	1690_1699	CERTAIN	1650_1699	CERTAIN	13325823	Bible -- Sermons. | Sermons, English -- 17th century.	Manton, Thomas, 1620-1677.	SERMONS	Some pages are stained, print is faded, and there is show-through.  Page 317 is stained.  Pages 378, 383, 695, 796-97, 898, and 935 are misnumbered.  Pages 488-95, 549-600, and 993-94 are missing in number onlyin filmed copy.  Pages 300-31 photographed from Union Theological Seminary Library copy and inserted at the end. | Reproduction of original in Huntington Library.	London	Printed by J. D. and are to be sold by Jonathon Robinson ..	1675_1699	CERTAIN	oclc: 13325823	W: M524	99069	A fourth volume containing one hundred and fifty sermons on several texts of Scripture in two parts : part the first containing LXXIV sermons : part the second containing LXXVI sermons : with an alphabetical table to the whole / by ... Thomas Manton ...	1693	CERTAIN	https://cqpweb.lancs.ac.uk/eebov3/context.php?qid=006421&batch=778	759989538	759989539
780	A51840	. For the joy that was set before him , he endured the cross , despising the shame , and	<<< is sat >>>	down at the right hand of the throne of God . He was thinking of his Welcome to Heaven ;	._YSTP For_IF the_AT joy_NN1 that_CST was_VBDZ set_VVN before_II him_PPHO1 ,_YCOM he_PPHS1 endured_VVD the_AT cross_NN1 ,_YCOM despising_VVG the_AT shame_NN1 ,_YCOM and_CC	<<< is_VBZ sat_VVN >>>	down_RP at_II the_AT right_JJ hand_NN1 of_IO the_AT throne_NN1 of_IO God_NP1 ._YSTP He_PPHS1 was_VBDZ thinking_VVG of_IO his_APPGE Welcome_NN1 to_II Heaven_NN1 ;_YSCOL	_NO_TITLES_LISTED_	_NO_TITLES_LISTED_	Wing M524. | Arber's Term. cat. 451.	1600_1699	CERTAIN	1690_1699	CERTAIN	1650_1699	CERTAIN	13325823	Bible -- Sermons. | Sermons, English -- 17th century.	Manton, Thomas, 1620-1677.	SERMONS	Some pages are stained, print is faded, and there is show-through.  Page 317 is stained.  Pages 378, 383, 695, 796-97, 898, and 935 are misnumbered.  Pages 488-95, 549-600, and 993-94 are missing in number onlyin filmed copy.  Pages 300-31 photographed from Union Theological Seminary Library copy and inserted at the end. | Reproduction of original in Huntington Library.	London	Printed by J. D. and are to be sold by Jonathon Robinson ..	1675_1699	CERTAIN	oclc: 13325823	W: M524	99069	A fourth volume containing one hundred and fifty sermons on several texts of Scripture in two parts : part the first containing LXXIV sermons : part the second containing LXXVI sermons : with an alphabetical table to the whole / by ... Thomas Manton ...	1693	CERTAIN	https://cqpweb.lancs.ac.uk/eebov3/context.php?qid=006421&batch=779	759997170	759997171
781	A51840	to the Great and the Mighty . And is not the Son of God worthy of our Respects , that	<<< is sat >>>	down at the right Hand of Majesty above all ? If we did live by Faith as much as by	to_II the_AT Great_JJ and_CC the_AT Mighty_JJ ._YSTP And_CC is_VBZ not_XX the_AT Son_NN1 of_IO God_NP1 worthy_NN1 of_IO our_APPGE Respects_NN2 ,_YCOM that_DD1	<<< is_VBZ sat_VVN >>>	down_RP at_II the_AT right_JJ Hand_NN1 of_IO Majesty_NN1 above_II all_DB ?_YQUE If_CS we_PPIS2 did_VDD live_VVI by_II Faith_NN1 as_RG much_DA1 as_CSA by_II	_NO_TITLES_LISTED_	_NO_TITLES_LISTED_	Wing M524. | Arber's Term. cat. 451.	1600_1699	CERTAIN	1690_1699	CERTAIN	1650_1699	CERTAIN	13325823	Bible -- Sermons. | Sermons, English -- 17th century.	Manton, Thomas, 1620-1677.	SERMONS	Some pages are stained, print is faded, and there is show-through.  Page 317 is stained.  Pages 378, 383, 695, 796-97, 898, and 935 are misnumbered.  Pages 488-95, 549-600, and 993-94 are missing in number onlyin filmed copy.  Pages 300-31 photographed from Union Theological Seminary Library copy and inserted at the end. | Reproduction of original in Huntington Library.	London	Printed by J. D. and are to be sold by Jonathon Robinson ..	1675_1699	CERTAIN	oclc: 13325823	W: M524	99069	A fourth volume containing one hundred and fifty sermons on several texts of Scripture in two parts : part the first containing LXXIV sermons : part the second containing LXXVI sermons : with an alphabetical table to the whole / by ... Thomas Manton ...	1693	CERTAIN	https://cqpweb.lancs.ac.uk/eebov3/context.php?qid=006421&batch=780	760022074	760022075
