Number of hit	Text ID	Context before	Query item	Context after	Tagged context before	Tagged query item	Tagged context after	Country	Decade	Text genre	Text source	Year	URL	Matchbegin corpus position	Matchend corpus position
294	NA3__040904	confiscated . It is understood he shot himself with a privately owned handgun . The spokesman said the officer had	<<< been stood >>>	down when the allegations were first made in June . He had then been seconded to a regional police station	confiscated_VVN ._YSTP It_PPH1 is_VBZ understood_VVN he_PPHS1 shot_VVD himself_PPX1 with_IW a_AT1 privately_RR owned_VVN handgun_NN1 ._YSTP The_AT spokesman_NN1 said_VVD the_AT officer_NN1 had_VHD	<<< been_VBN stood_VVN >>>	down_RP when_CS the_AT allegations_NN2 were_VBDR first_MD made_VVN in_II June_NPM1 ._YSTP He_PPHS1 had_VHD then_RT been_VBN seconded_VVN to_II a_AT1 regional_JJ police_NN2 station_NN1	Australia	2000s	newspaper	Computing	2004	https://cqpweb.bham.ac.uk/bankofenglish/context.php?qname=gum33613iky&batch=293	259294529	259294530
295	NA3__040908	rides involving a weight of 56kg or less . A well-regarded rider with a history of weight problems , Sheehan	<<< was stood >>>	down yesterday by the stewards for a month after failing to make correct weight for a ride at Rosehill on	rides_NN2 involving_VVG a_AT1 weight_NN1 of_IO 56kg_NNU or_CC less_RRR ._YSTP A_AT1 well-regarded_JJ rider_NN1 with_IW a_AT1 history_NN1 of_IO weight_NN1 problems_NN2 ,_YCOM Sheehan_NP1	<<< was_VBDZ stood_VVN >>>	down_RP yesterday_RT by_II the_AT stewards_NN2 for_IF a_AT1 month_NNT1 after_II failing_VVG to_TO make_VVI correct_JJ weight_NN1 for_IF a_AT1 ride_NN1 at_II Rosehill_NP1 on_II	Australia	2000s	newspaper	Computing	2004	https://cqpweb.bham.ac.uk/bankofenglish/context.php?qname=gum33613iky&batch=294	259579064	259579065
296	NA3__040911	investigations or the handling of cases . Responding to extraordinary public criticism by disgruntled reporting officer Rick Lewis , who	<<< was stood >>>	down and publicly admonished by Anderson on Wednesday morning for failing to amend the charge in the Brown case ,	investigations_NN2 or_CC the_AT handling_NN1 of_IO cases_NN2 ._YSTP Responding_VVG to_II extraordinary_JJ public_JJ criticism_NN1 by_II disgruntled_JJ reporting_NN1 officer_NN1 Rick_NP1 Lewis_NP1 ,_YCOM who_PNQS	<<< was_VBDZ stood_VVN >>>	down_RP and_CC publicly_RR admonished_VVN by_II Anderson_NP1 on_II Wednesday_NPD1 morning_NNT1 for_IF failing_VVG to_TO amend_VVI the_AT charge_NN1 in_II the_AT Brown_JJ case_NN1 ,_YCOM	Australia	2000s	newspaper	Computing	2004	https://cqpweb.bham.ac.uk/bankofenglish/context.php?qname=gum33613iky&batch=295	259736277	259736278
297	NA3__040911	and make sure they come through , '' Walters said . ` ` I suppose that 's one thing that	<<< 's stood >>>	out more than anything . He does n't throw kids in at the deep end . '' In Melbourne ,	and_CC make_VVI sure_JJ they_PPHS2 come_VV0 through_RP ,_YCOM ''_JJ Walters_NP said_JJ ._YSTP `_YQUO `_YQUO I_PPIS1 suppose_VV0 that_DD1 's_VBZ one_MC1 thing_NN1 that_CST	<<< 's_VBZ stood_VVN >>>	out_RP more_DAR than_CSN anything_PN1 ._YSTP He_PPHS1 does_VDZ n't_XX throw_VVI kids_NN2 in_RP at_II the_AT deep_JJ end_NN1 ._YSTP ''_VV0 In_II Melbourne_NP1 ,_YCOM	Australia	2000s	newspaper	Computing	2004	https://cqpweb.bham.ac.uk/bankofenglish/context.php?qname=gum33613iky&batch=296	259749651	259749652
298	NA3__040916	confronted calls from union leaders -- who had bought shares to enable them to speak -- for Mr Macdonald to	<<< be stood >>>	down . Ms Hellicar would not allow Mr Macdonald to answer for himself , but said the board had confidence	confronted_VVD calls_NN2 from_II union_NN1 leaders_NN2 --_NN1 who_PNQS had_VHD bought_VVN shares_NN2 to_TO enable_VVI them_PPHO2 to_TO speak_VVI --_NN1 for_IF Mr_NNB Macdonald_NP1 to_TO	<<< be_VBI stood_VVN >>>	down_RP ._YSTP Ms_NNB Hellicar_NP1 would_VM not_XX allow_VVI Mr_NNB Macdonald_NP1 to_TO answer_VVI for_IF himself_PPX1 ,_YCOM but_CCB said_VVD the_AT board_NN1 had_VHD confidence_NN1	Australia	2000s	newspaper	Computing	2004	https://cqpweb.bham.ac.uk/bankofenglish/context.php?qname=gum33613iky&batch=297	260001672	260001673
299	NA3__040922	violence interim order and a court attendance notice for assault after an incident involving a weapon over the weekend --	<<< is stood >>>	down immediately ? '' Mr Brogden asked in parliament . Mr Debus said Ms O'Shane would be on leave until	violence_NN1 interim_NN1 order_NN1 and_CC a_AT1 court_NN1 attendance_NN1 notice_NN1 for_IF assault_NN1 after_II an_AT1 incident_NN1 involving_VVG a_AT1 weapon_NN1 over_II the_AT weekend_NNT1 --_NN1	<<< is_VBZ stood_VVN >>>	down_RP immediately_RR ?_YQUE ''_NN1 Mr_NNB Brogden_NP1 asked_VVD in_II parliament_NN1 ._YSTP Mr_NNB Debus_NP1 said_VVD Ms_NNB O'Shane_NP1 would_VM be_VBI on_II leave_NN1 until_II	Australia	2000s	newspaper	Computing	2004	https://cqpweb.bham.ac.uk/bankofenglish/context.php?qname=gum33613iky&batch=298	260470506	260470507
300	NA3__040922	violence interim order and a court attendance notice for assault after an incident involving a weapon over the weekend --	<<< is stood >>>	down immediately ? '' Mr Brogden asked in parliament . Mr Debus said Ms O'Shane would be on leave until	violence_NN1 interim_NN1 order_NN1 and_CC a_AT1 court_NN1 attendance_NN1 notice_NN1 for_IF assault_NN1 after_II an_AT1 incident_NN1 involving_VVG a_AT1 weapon_NN1 over_II the_AT weekend_NNT1 --_NN1	<<< is_VBZ stood_VVN >>>	down_RP immediately_RR ?_YQUE ''_NN1 Mr_NNB Brogden_NP1 asked_VVD in_II parliament_NN1 ._YSTP Mr_NNB Debus_NP1 said_VVD Ms_NNB O'Shane_NP1 would_VM be_VBI on_II leave_NN1 until_II	Australia	2000s	newspaper	Computing	2004	https://cqpweb.bham.ac.uk/bankofenglish/context.php?qname=gum33613iky&batch=299	260586987	260586988
301	NA3__040929	death of 88 Australians in the Bali bombings . Once again , Mr Downer is calling for the candidate to	<<< be stood >>>	down . But this time , the retraction has been mealy-mouthed at best , and Dr Molloy has added to	death_NN1 of_IO 88_MC Australians_NN2 in_II the_AT Bali_JJ bombings_NN2 ._YSTP Once_RR21 again_RR22 ,_YCOM Mr_NNB Downer_NP1 is_VBZ calling_VVG for_IF the_AT candidate_NN1 to_TO	<<< be_VBI stood_VVN >>>	down_RP ._YSTP But_CCB this_DD1 time_NNT1 ,_YCOM the_AT retraction_NN1 has_VHZ been_VBN mealy-mouthed_JJ at_RR21 best_RR22 ,_YCOM and_CC Dr_NNB Molloy_NP1 has_VHZ added_VVN to_II	Australia	2000s	newspaper	Computing	2004	https://cqpweb.bham.ac.uk/bankofenglish/context.php?qname=gum33613iky&batch=300	260852802	260852803
302	NA3__041007	yesterday . Southwest of Melbourne , the principal of 14 years at St Therese Catholic primary school in coastal Torquay	<<< was stood >>>	down yesterday pending a police investigation into allegations he accessed child pornography on the internet . Terry Wescott is the	yesterday_RT ._YSTP Southwest_ND1 of_IO Melbourne_NP1 ,_YCOM the_AT principal_NN1 of_IO 14_MC years_NNT2 at_II St_NP1 Therese_NP1 Catholic_JJ primary_JJ school_NN1 in_II coastal_JJ Torquay_NP1	<<< was_VBDZ stood_VVN >>>	down_RP yesterday_RT pending_II a_AT1 police_NN2 investigation_NN1 into_II allegations_NN2 he_PPHS1 accessed_VVD child_NN1 pornography_NN1 on_II the_AT internet_NN1 ._YSTP Terry_NP1 Wescott_NP1 is_VBZ the_AT	Australia	2000s	newspaper	Computing	2004	https://cqpweb.bham.ac.uk/bankofenglish/context.php?qname=gum33613iky&batch=301	261323117	261323118
303	NA3__041007	. Lachlan Wallin , a 26-year-old teacher at St Simon 's Catholic Primary School in Rowville , southeast Melbourne ,	<<< was stood >>>	down on Monday . Neither man has been charged . A contract cleaner , employed at Karingal Park Secondary College	._YSTP Lachlan_NP1 Wallin_NP1 ,_YCOM a_AT1 26-year-old_JJ teacher_NN1 at_II St_NP1 Simon_NP1 's_GE Catholic_JJ Primary_JJ School_NN1 in_II Rowville_NP1 ,_YCOM southeast_ND1 Melbourne_NP1 ,_YCOM	<<< was_VBDZ stood_VVN >>>	down_RP on_II Monday_NPD1 ._YSTP Neither_DD1 man_NN1 has_VHZ been_VBN charged_VVN ._YSTP A_AT1 contract_NN1 cleaner_NN1 ,_YCOM employed_VVN at_II Karingal_JJ Park_NN1 Secondary_NN1 College_NN1	Australia	2000s	newspaper	Computing	2004	https://cqpweb.bham.ac.uk/bankofenglish/context.php?qname=gum33613iky&batch=302	261323167	261323168
304	NA3__041007	yesterday . Southwest of Melbourne , the principal of 14 years at St Therese Catholic primary school in coastal Torquay	<<< was stood >>>	down yesterday pending a police investigation into allegations he accessed child pornography on the internet . Terry Wescott is the	yesterday_RT ._YSTP Southwest_ND1 of_IO Melbourne_NP1 ,_YCOM the_AT principal_NN1 of_IO 14_MC years_NNT2 at_II St_NP1 Therese_NP1 Catholic_JJ primary_JJ school_NN1 in_II coastal_JJ Torquay_NP1	<<< was_VBDZ stood_VVN >>>	down_RP yesterday_RT pending_II a_AT1 police_NN2 investigation_NN1 into_II allegations_NN2 he_PPHS1 accessed_VVD child_NN1 pornography_NN1 on_II the_AT internet_NN1 ._YSTP Terry_NP1 Wescott_NP1 is_VBZ the_AT	Australia	2000s	newspaper	Computing	2004	https://cqpweb.bham.ac.uk/bankofenglish/context.php?qname=gum33613iky&batch=303	261464676	261464677
305	NA3__041007	. Lachlan Wallin , a 26-year-old teacher at St Simon 's Catholic Primary School in Rowville , southeast Melbourne ,	<<< was stood >>>	down on Monday . Neither man has been charged . A contract cleaner , employed at Karingal Park Secondary College	._YSTP Lachlan_NP1 Wallin_NP1 ,_YCOM a_AT1 26-year-old_JJ teacher_NN1 at_II St_NP1 Simon_NP1 's_GE Catholic_JJ Primary_JJ School_NN1 in_II Rowville_NP1 ,_YCOM southeast_ND1 Melbourne_NP1 ,_YCOM	<<< was_VBDZ stood_VVN >>>	down_RP on_II Monday_NPD1 ._YSTP Neither_DD1 man_NN1 has_VHZ been_VBN charged_VVN ._YSTP A_AT1 contract_NN1 cleaner_NN1 ,_YCOM employed_VVN at_II Karingal_JJ Park_NN1 Secondary_NN1 College_NN1	Australia	2000s	newspaper	Computing	2004	https://cqpweb.bham.ac.uk/bankofenglish/context.php?qname=gum33613iky&batch=304	261464726	261464727
306	NA3__041009	Austin , Texas , patrons were asked at the door for their voter registration cards . ` ` The unregistered	<<< were sat >>>	down and signed up , '' said The New York Times . Similar events have been held across the country	Austin_NP1 ,_YCOM Texas_NP1 ,_YCOM patrons_NN2 were_VBDR asked_VVN at_II the_AT door_NN1 for_IF their_APPGE voter_NN1 registration_NN1 cards_NN2 ._YSTP `_YQUO `_YQUO The_AT unregistered_JJ	<<< were_VBDR sat_VVN >>>	down_RP and_CC signed_VVN up_RP ,_YCOM ''_NN1 said_VVD The_AT New_NP1 York_NP1 Times_NNT2 ._YSTP Similar_JJ events_NN2 have_VH0 been_VBN held_VVN across_II the_AT country_NN1	Australia	2000s	newspaper	Computing	2004	https://cqpweb.bham.ac.uk/bankofenglish/context.php?qname=gum33613iky&batch=305	261527124	261527125
307	NA3__041016	McBurney engaged Brad Pengelly to ride Henderson Bay last year after the gelding 's regular rider Darryl ` Digger' McLellan	<<< was stood >>>	down by stewards . Larry Cassidy is the usual rider of Portland Singa but he is suspended . Pengelly has	McBurney_NP1 engaged_VVD Brad_NP1 Pengelly_NP1 to_TO ride_VVI Henderson_NP1 Bay_NN1 last_MD year_NNT1 after_II the_AT gelding_NN1 's_GE regular_JJ rider_NN1 Darryl_NP1 `_YQUO Digger'_NP1 McLellan_NP1	<<< was_VBDZ stood_VVN >>>	down_RP by_II stewards_NN2 ._YSTP Larry_NP1 Cassidy_NP1 is_VBZ the_AT usual_JJ rider_NN1 of_IO Portland_NP1 Singa_NP1 but_CCB he_PPHS1 is_VBZ suspended_VVN ._YSTP Pengelly_RR has_VHZ	Australia	2000s	newspaper	Computing	2004	https://cqpweb.bham.ac.uk/bankofenglish/context.php?qname=gum33613iky&batch=306	262167718	262167719
308	NA3__041102	, was denied his appeal before the Racing Victoria tribunal and ordered to begin his 12-day suspension immediately . Baster	<<< was stood >>>	down for careless riding at the Cox Plate meeting at Moonee Valley on October 28 . Connections have until 8am	,_YCOM was_VBDZ denied_VVN his_APPGE appeal_NN1 before_II the_AT Racing_JJ Victoria_NP1 tribunal_NN1 and_CC ordered_VVD to_TO begin_VVI his_APPGE 12-day_JJ suspension_NN1 immediately_RR ._YSTP Baster_NN1	<<< was_VBDZ stood_VVN >>>	down_RP for_IF careless_JJ riding_NN1 at_II the_AT Cox_NP1 Plate_NN1 meeting_VVG at_II Moonee_NP1 Valley_NN1 on_II October_NPM1 28_MC ._YSTP Connections_NN2 have_VH0 until_II 8am_RA	Australia	2000s	newspaper	Computing	2004	https://cqpweb.bham.ac.uk/bankofenglish/context.php?qname=gum33613iky&batch=307	263054055	263054056
309	NA3__041106	, Jennifer Sexton EVEN if Jeff Shaw 's blood sample proves he was driving while drunk , he can not	<<< be stood >>>	down from the NSW Supreme Court unless a majority of both houses of the NSW parliament vote for his removal	,_YCOM Jennifer_NP1 Sexton_NP1 EVEN_CS21 if_CS22 Jeff_NP1 Shaw_NP1 's_GE blood_NN1 sample_NN1 proves_VVZ he_PPHS1 was_VBDZ driving_VVG while_CS drunk_JJ ,_YCOM he_PPHS1 can_VM not_XX	<<< be_VBI stood_VVN >>>	down_RP from_II the_AT NSW_NP1 Supreme_JJ Court_NN1 unless_CS a_AT1 majority_NN1 of_IO both_DB2 houses_NN2 of_IO the_AT NSW_NP1 parliament_NN1 vote_NN1 for_IF his_APPGE removal_NN1	Australia	2000s	newspaper	Computing	2004	https://cqpweb.bham.ac.uk/bankofenglish/context.php?qname=gum33613iky&batch=308	263263819	263263820
310	NA3__041106	Court yesterday . He was granted bail to reappear for sentencing in the District Court later this month . Willis	<<< was stood >>>	down from duties at the north Perth beachside station of Scarborough following his arrest . The Weekend Australian 1 -	Court_NN1 yesterday_RT ._YSTP He_PPHS1 was_VBDZ granted_VVN bail_VV0 to_TO reappear_VVI for_IF sentencing_VVG in_II the_AT District_NN1 Court_NN1 later_RRR this_DD1 month_NNT1 ._YSTP Willis_NP1	<<< was_VBDZ stood_VVN >>>	down_RP from_II duties_NN2 at_II the_AT north_ND1 Perth_NP1 beachside_NN1 station_NN1 of_IO Scarborough_NP1 following_VVG his_APPGE arrest_NN1 ._YSTP The_AT Weekend_NNT1 Australian_NN1 1_MC1 -_YDSH	Australia	2000s	newspaper	Computing	2004	https://cqpweb.bham.ac.uk/bankofenglish/context.php?qname=gum33613iky&batch=309	263271245	263271246
311	NA3__041111	do n't play . In 2002 in the Six Nations , one game a guy got a yellow card and	<<< was stood >>>	down from the side the following week . '' One player who presumably has been given a Laporte dispensation is	do_VD0 n't_XX play_VVI ._YSTP In_II 2002_MC in_II the_AT Six_MC Nations_NN2 ,_YCOM one_MC1 game_NN1 a_AT1 guy_NN1 got_VVD a_AT1 yellow_JJ card_NN1 and_CC	<<< was_VBDZ stood_VVN >>>	down_RP from_II the_AT side_NN1 the_AT following_JJ week_NNT1 ._YSTP ''_VV0 One_MC1 player_NN1 who_PNQS presumably_RR has_VHZ been_VBN given_VVN a_AT1 Laporte_NP1 dispensation_NN1 is_VBZ	Australia	2000s	newspaper	Computing	2004	https://cqpweb.bham.ac.uk/bankofenglish/context.php?qname=gum33613iky&batch=310	263695587	263695588
312	NA3__041120	tank , insists the secretary-designate will be tough enough to stand up to Cheney and Rumsfeld -- just as she	<<< 's stood >>>	up to older men when she rescued Stanford University from a budget crisis when she was in her late 30s	tank_NN1 ,_YCOM insists_VVZ the_AT secretary-designate_JJ will_VM be_VBI tough_JJ enough_RR to_TO stand_VVI up_II21 to_II22 Cheney_NP1 and_CC Rumsfeld_NP1 --_NN1 just_RR as_CSA she_PPHS1	<<< 's_VBZ stood_VVN >>>	up_II21 to_II22 older_JJR men_NN2 when_RRQ she_PPHS1 rescued_VVD Stanford_NP1 University_NN1 from_II a_AT1 budget_NN1 crisis_NN1 when_CS she_PPHS1 was_VBDZ in_II her_APPGE late_JJ 30s_MC2	Australia	2000s	newspaper	Computing	2004	https://cqpweb.bham.ac.uk/bankofenglish/context.php?qname=gum33613iky&batch=311	264094585	264094586
313	NA3__041216	, as well as their former boss Jim Hodgson , who is now serving out a 12-month notice period after	<<< being stood >>>	down as group general manager of fibre packaging at Amcor Australasia . But the company was not expecting to find	,_YCOM as_II31 well_II32 as_II33 their_APPGE former_DA boss_NN1 Jim_NP1 Hodgson_NP1 ,_YCOM who_PNQS is_VBZ now_RT serving_VVG out_RP a_AT1 12-month_JJ notice_NN1 period_NN1 after_II	<<< being_VBG stood_VVN >>>	down_RP as_CSA group_NN1 general_NN1 manager_NN1 of_IO fibre_NN1 packaging_NN1 at_II Amcor_NP1 Australasia_NP1 ._YSTP But_CCB the_AT company_NN1 was_VBDZ not_XX expecting_VVG to_TO find_VVI	Australia	2000s	newspaper	Computing	2004	https://cqpweb.bham.ac.uk/bankofenglish/context.php?qname=gum33613iky&batch=312	265688245	265688246
314	NA3__041216	are senior executives of Amcor'' through its case against Mr Mihelic and his colleagues . As Mr Hodgson had already	<<< been stood >>>	down by the time Amcor 's lawyers met the ACCC , the wording of the affidavit could indicate other high-ranking	are_VBR senior_JJ executives_NN2 of_IO Amcor''_NP1 through_II its_APPGE case_NN1 against_II Mr_NNB Mihelic_NP1 and_CC his_APPGE colleagues_NN2 ._YSTP As_CSA Mr_NNB Hodgson_NP1 had_VHD already_RR	<<< been_VBN stood_VVN >>>	down_RP by_II the_AT time_NNT1 Amcor_NP1 's_GE lawyers_NN2 met_VVD the_AT ACCC_NN1 ,_YCOM the_AT wording_NN1 of_IO the_AT affidavit_NN1 could_VM indicate_VVI other_JJ high-ranking_JJ	Australia	2000s	newspaper	Computing	2004	https://cqpweb.bham.ac.uk/bankofenglish/context.php?qname=gum33613iky&batch=313	265688369	265688370
315	NA3__041220	, is a deliciously bitchy , platinum-haired , surgically remade estate agent . When Susan , the single mother ,	<<< is stood >>>	up by the plumber and Edie asks ` ` How was your hot date ? '' , we see the	,_YCOM is_VBZ a_AT1 deliciously_RR bitchy_JJ ,_YCOM platinum-haired_JJ ,_YCOM surgically_RR remade_VVN estate_NN1 agent_NN1 ._YSTP When_CS Susan_NP1 ,_YCOM the_AT single_JJ mother_NN1 ,_YCOM	<<< is_VBZ stood_VVN >>>	up_RP by_II the_AT plumber_NN1 and_CC Edie_NP1 asks_VVZ `_YQUO `_YQUO How_RRQ was_VBDZ your_APPGE hot_JJ date_NN1 ?_YQUE ''_NN1 ,_YCOM we_PPIS2 see_VV0 the_AT	Australia	2000s	newspaper	Computing	2004	https://cqpweb.bham.ac.uk/bankofenglish/context.php?qname=gum33613iky&batch=314	266002692	266002693
316	NA3__050117	INDUSTRIAL action by electricians at BlueScope Steel 's Western Port plant in Victoria could lead to thousands of manufacturing workers	<<< being stood >>>	down this week because the company would be unable to supply their customers with necessary raw materials . Strikes by	INDUSTRIAL_JJ action_NN1 by_II electricians_NN2 at_II BlueScope_NP1 Steel_NP1 's_GE Western_JJ Port_NN1 plant_NN1 in_II Victoria_NP1 could_VM lead_VVI to_II thousands_NNO2 of_IO manufacturing_NN1 workers_NN2	<<< being_VBG stood_VVN >>>	down_RP this_DD1 week_NNT1 because_CS the_AT company_NN1 would_VM be_VBI unable_JK to_TO supply_VVI their_APPGE customers_NN2 with_IW necessary_JJ raw_JJ materials_NN2 ._YSTP Strikes_NN2 by_II	Australia	2000s	newspaper	Computing	2005	https://cqpweb.bham.ac.uk/bankofenglish/context.php?qname=gum33613iky&batch=315	266830100	266830101
317	NA3__050208	the US , which is set by the national College Board . It is not curriculum-based , and therefore can	<<< be sat >>>	in all states . In Australia , the advantages of this sort of test would be numerous . If set	the_AT US_NP1 ,_YCOM which_DDQ is_VBZ set_VVN by_II the_AT national_JJ College_NN1 Board_NN1 ._YSTP It_PPH1 is_VBZ not_XX curriculum-based_JJ ,_YCOM and_CC therefore_RR can_VM	<<< be_VBI sat_VVN >>>	in_II all_DB states_NN2 ._YSTP In_II Australia_NP1 ,_YCOM the_AT advantages_NN2 of_IO this_DD1 sort_NN1 of_IO test_NN1 would_VM be_VBI numerous_JJ ._YSTP If_CS set_VVN	Australia	2000s	newspaper	Computing	2005	https://cqpweb.bham.ac.uk/bankofenglish/context.php?qname=gum33613iky&batch=316	267655427	267655428
318	NA3__050301	deliveries at or above waist height . The rest of the Australian camp is seething over calls for Lee to	<<< be stood >>>	down from the team for the remainder of the tour of New Zealand after he delivered a waist-high full toss	deliveries_NN2 at_II or_CC above_JJ waist_NN1 height_NN1 ._YSTP The_AT rest_NN1 of_IO the_AT Australian_JJ camp_NN1 is_VBZ seething_VVG over_RP calls_NN2 for_IF Lee_NP1 to_TO	<<< be_VBI stood_VVN >>>	down_RP from_II the_AT team_NN1 for_IF the_AT remainder_NN1 of_IO the_AT tour_NN1 of_IO New_NP1 Zealand_NP1 after_CS he_PPHS1 delivered_VVD a_AT1 waist-high_JJ full_JJ toss_NN1	Australia	2000s	newspaper	Computing	2005	https://cqpweb.bham.ac.uk/bankofenglish/context.php?qname=gum33613iky&batch=317	268706640	268706641
319	NA4__040910	person which was unhealthy and dangerous . The Mercury 1 - Dispute to affect beer supplies SUE BAILEY THIRTY workers	<<< were stood >>>	down at Hobart 's Cascade Brewery yesterday in a bitter dispute which is likely to affect beer supplies . The	person_NN1 which_DDQ was_VBDZ unhealthy_JJ and_CC dangerous_JJ ._YSTP The_AT Mercury_NP1 1_MC1 -_YDSH Dispute_VV0 to_TO affect_VVI beer_NN1 supplies_VVZ SUE_NP1 BAILEY_NP1 THIRTY_MC workers_NN2	<<< were_VBDR stood_VVN >>>	down_RP at_II Hobart_NP1 's_GE Cascade_NN1 Brewery_NN1 yesterday_RT in_II a_AT1 bitter_JJ dispute_NN1 which_DDQ is_VBZ likely_JJ to_TO affect_VVI beer_NN1 supplies_NN2 ._YSTP The_AT	Australia	2000s	newspaper	Computing	2004	https://cqpweb.bham.ac.uk/bankofenglish/context.php?qname=gum33613iky&batch=318	271654138	271654139
320	NA4__040910	ordering him to take the Matthew Scarlett-Nick Riewoldt clash to the tribunal against his wishes . Lewis , who has	<<< been stood >>>	down for the rest of the year and is likely to be sacked over the Jonathan Brown case , said	ordering_VVG him_PPHO1 to_TO take_VVI the_AT Matthew_NP1 Scarlett-Nick_NP1 Riewoldt_NP1 clash_NN1 to_II the_AT tribunal_NN1 against_II his_APPGE wishes_NN2 ._YSTP Lewis_NP1 ,_YCOM who_PNQS has_VHZ	<<< been_VBN stood_VVN >>>	down_RP for_IF the_AT rest_NN1 of_IO the_AT year_NNT1 and_CC is_VBZ likely_JJ to_TO be_VBI sacked_VVN over_II the_AT Jonathan_NP1 Brown_NP1 case_NN1 ,_YCOM said_VVD	Australia	2000s	newspaper	Computing	2004	https://cqpweb.bham.ac.uk/bankofenglish/context.php?qname=gum33613iky&batch=319	271672520	271672521
321	NA4__040911	pay rises intensifies . Liquor , Hospitality and Miscellaneous Union state secretary David O'Byrne said at least 34 workers had	<<< been stood >>>	down and beer supplies may be affected unless a resolution was reached soon . ` ` There are finite stores	pay_NN1 rises_NN2 intensifies_VVZ ._YSTP Liquor_NN1 ,_YCOM Hospitality_NN1 and_CC Miscellaneous_JJ Union_NN1 state_NN1 secretary_NN1 David_NP1 O'Byrne_NP1 said_VVD at_RR21 least_RR22 34_MC workers_NN2 had_VHD	<<< been_VBN stood_VVN >>>	down_RP and_CC beer_NN1 supplies_NN2 may_VM be_VBI affected_VVN unless_CS a_AT1 resolution_NN1 was_VBDZ reached_VVN soon_RR ._YSTP `_YQUO `_YQUO There_EX are_VBR finite_JJ stores_NN2	Australia	2000s	newspaper	Computing	2004	https://cqpweb.bham.ac.uk/bankofenglish/context.php?qname=gum33613iky&batch=320	271685060	271685061
322	NA4__040912	pay rise as part of a new enterprise bargaining agreement . Beer production stopped late last week after 34 workers	<<< were stood >>>	down , the company saying it had no choice because of bans and limitations by workers . Sunday Tasmanian 1	pay_NN1 rise_NN1 as_II part_NN1 of_IO a_AT1 new_JJ enterprise_NN1 bargaining_NN1 agreement_NN1 ._YSTP Beer_NN1 production_NN1 stopped_VVD late_RR last_MD week_NNT1 after_II 34_MC workers_NN2	<<< were_VBDR stood_VVN >>>	down_RP ,_YCOM the_AT company_NN1 saying_VVG it_PPH1 had_VHD no_AT choice_NN1 because_II21 of_II22 bans_NN2 and_CC limitations_NN2 by_II workers_NN2 ._YSTP Sunday_NPD1 Tasmanian_NN1 1_MC1	Australia	2000s	newspaper	Computing	2004	https://cqpweb.bham.ac.uk/bankofenglish/context.php?qname=gum33613iky&batch=321	271732211	271732212
323	NA4__040918	from Iraq within 24 hours . The Mercury 1 - Crash pair stood down TWO Melbourne-based air traffic controllers have	<<< been stood >>>	down over the Benalla air crash which killed six people . The Piper Cheyenne aircraft was en route from Bankstown	from_II Iraq_NP1 within_II 24_MC hours_NNT2 ._YSTP The_AT Mercury_NP1 1_MC1 -_YDSH Crash_VV0 pair_NN stood_VVD down_RP TWO_MC Melbourne-based_JJ air_NN1 traffic_NN1 controllers_NN2 have_VH0	<<< been_VBN stood_VVN >>>	down_RP over_II the_AT Benalla_NP1 air_NN1 crash_NN1 which_DDQ killed_VVD six_MC people_NN ._YSTP The_AT Piper_NP1 Cheyenne_NP1 aircraft_NN was_VBDZ en_RR21 route_RR22 from_II Bankstown_NP1	Australia	2000s	newspaper	Computing	2004	https://cqpweb.bham.ac.uk/bankofenglish/context.php?qname=gum33613iky&batch=322	271975426	271975427
324	NA4__040918	release of the report , Deputy Prime Minister John Anderson said it was appropriate for the air traffic controllers to	<<< be stood >>>	down while the investigation continued . AAP The Mercury 1 - Slice of history up in smoke MARGARETTA POS KARONGEE	release_NN1 of_IO the_AT report_NN1 ,_YCOM Deputy_NN1 Prime_JJ Minister_NN1 John_NP1 Anderson_NP1 said_VVD it_PPH1 was_VBDZ appropriate_JJ for_IF the_AT air_NN1 traffic_NN1 controllers_NN2 to_TO	<<< be_VBI stood_VVN >>>	down_RP while_CS the_AT investigation_NN1 continued_VVD ._YSTP AAP_VV0 The_AT Mercury_NP1 1_MC1 -_YDSH Slice_NN1 of_IO history_NN1 up_RP in_II smoke_NN1 MARGARETTA_NN1 POS_NN2 KARONGEE_NN1	Australia	2000s	newspaper	Computing	2004	https://cqpweb.bham.ac.uk/bankofenglish/context.php?qname=gum33613iky&batch=323	271975564	271975565
325	NA4__040922	when they bloom in her garden and feels ` ` at least once or twice at the weekend meals should	<<< be sat >>>	over and paid attention to'' . She describes herself as a lazy , but often purist , cook : `	when_RRQ they_PPHS2 bloom_VV0 in_II her_APPGE garden_NN1 and_CC feels_VVZ `_YQUO `_YQUO at_RR21 least_RR22 once_RR or_CC twice_RR at_II the_AT weekend_NNT1 meals_NN2 should_VM	<<< be_VBI sat_VVN >>>	over_RP and_CC paid_JJ attention_NN1 to''_NN1 ._YSTP She_PPHS1 describes_VVZ herself_PPX1 as_II a_AT1 lazy_JJ ,_YCOM but_CCB often_RR purist_JJ ,_YCOM cook_VV0 :_YCOL `_YQUO	Australia	2000s	newspaper	Computing	2004	https://cqpweb.bham.ac.uk/bankofenglish/context.php?qname=gum33613iky&batch=324	272164581	272164582
